mot_malgache,description,resume_francais
Salama,Formule de salutation générale,salutation
Misaotra,Remercier,merci
Azafady,S'excuser ou demander poliment,pardon
Eny,Oui,oui
Tsia,Non,non
Veloma,Formule d'adieu,au revoir
Mazotoa,Encouragement à être actif,vaillant
Mandrapihaona,À plus tard,au revoir
Inona no vaovao,Quoi de neuf,nouvelles
Tsara,Bon,bon
Ratsy,Mauvais,mauvais
Be,Nombreux,nombreux
Kely,Petit,petit
Lehibe,Grand,grand
Mora,Facile,facile
Sarotra,Difficile,difficile
Mandeha,Marcher,marcher
Mihinana,Manger,manger
Misotro,Boire,boire
Matory,Dormir,dormir
Miasa,Travailler,travailler
Milalao,Jouer,jouer
Mamaky,Lire,lire
Manoratra,Écrire,écrire
Mividy,Acheter,acheter
Mivarotra,Vendre,vendre
Mijery,Regarder,regarder
Maheno,Entendre,entendre
Miteny,Parler,parler
Anarana,Nom,nom
Trano,Maison,maison
Rano,Eau,eau
Sakafo,Nourriture,nourriture
Volana,Mois,mois
Andro,Jour,jour
Alina,Nuit,nuit
Maraina,Matin,matin
Hariva,Soir,soir
Omby,Bœuf,bœuf
Akoho,Poulet,poulet
Biby,Animal,animal
Hazo,Arbre,arbre
Ravinala,Arbre du voyageur,arbre voyageur
Avaratra,Nord,nord
Atsimo,Sud,sud
Andrefana,Ouest,ouest
Atsinanana,Est,est
Rivotra,Tempête,tempête
Orana,Pluie,pluie
Maso,Œil,œil
Tsofina,Nez,nez
Vava,Bouche,bouche
Tanana,Main,main
Tongotra,Pied,pied
Loha,Tête,tête
Fo,Cœur,cœur
Ra,Sang,sang
Taolana,Os,os
Hoditra,Peau,peau
Ravy,Cheveu,cheveu
Fotsy,Blanc,blanc
Mainty,Noir,noir
Mena,Rouge,rouge
Maitso,Vert,vert
Mavo,Jaune,jaune
Manga,Bleu,bleu
Volomparasy,Violet,violet
Tsara be,Très bon,excellent
Tonga soa,Bienvenue,bienvenue
Misaotra betsaka,Merci beaucoup,merci beaucoup
Azafady aho,Pardonnez-moi,pardon
Aza maninona,Peu importe,peu importe
Mankasitraka,Remercier,remercier
Tsapoko,Tiens,tiens
Indrisy,Hélas,hélas
Angamba,Peut-être,peut-être
Raha tsy izany,Sinon,sinon
Fa,Car,car
Nefa,Mais,mais
Ary,Et,et
